0.028	98	2.404					
0.05	0.035	0.02404	0.	0.	0.	0.	0.
24
1	133.3	20.5	136.5 	4.519 	274	0	
1	133.3	20.5	139.0 	5.920 	84	1	
1	133.3	20.5	149.5 	6.946 	8	28	
1	133.3	20.5	149.5 	6.946 	251	2	
1	133.3	20.5	153.0 	5.159 	198	50	
1	348.3	10.3	121.0 	4.008 	107	7	
1	348.3	10.3	121.0 	4.008 	89	3	
1	348.3	10.3	126.5 	3.620 	68	37	
1	348.3	10.3	129.0 	4.780 	115	9	
1	348.3	10.3	129.0 	4.780 	90	3	
1	348.3	10.3	134.5 	5.064 	170	14	
1	348.3	10.3	140.0 	4.329 	171	61	
1	348.3	10.3	140.0 	4.329 	16	57	
1	348.3	10.3	140.0 	4.329 	8	74	
1	0	0	138.5 	6.527 	343	10	
1	0	0	143.5 	7.249 	171	8	
1	0	0	143.5 	7.249 	238	8	
1	133.3	20.5	141.1 	5.120 	91	11	
1	133.3	20.5	160.3 	5.455 	93	15	
1	0	0	145.5 	4.741 	83	32	
1	0	0	149.0 	5.228 	277	4
1	348.3	10.3	144.0 	6.466 	164	4	
1	348.3	10.3	148.5 	4.571 	339	39	
1	348.3	10.3	151.5 	6.095 	21	11
	
1	133.3	20.5	158.5 	7.861 	321	5	
1	133.3	20.5	158.5 	7.861 	252	21	
1	348.3	10.3	121.0 	4.008 	353	11	
1	348.3	10.3	121.0 	4.008 	156	0	
1	0	0	138.5 	6.527 	100	3	
1	0	0	138.5 	6.527 	88	9	
